group,region,observable,bin_low,bin_high,last_bin_includes_overflow,raw,sumw,sumw2
data,SS1b,delta_phi,1.308996938995747,1.5707963267948966,False,32,32.0,32.0
data,SS1b,delta_phi,1.5707963267948966,1.832595714594046,False,52,52.0,52.0
data,SS1b,delta_phi,1.832595714594046,2.0943951023931953,False,39,39.0,39.0
data,SS1b,delta_phi,2.0943951023931953,2.356194490192345,False,54,54.0,54.0
data,SS1b,delta_phi,2.356194490192345,2.617993877991494,False,56,56.0,56.0
data,SS1b,delta_phi,2.617993877991494,2.8797932657906435,False,61,61.0,61.0
data,SS1b,delta_phi,2.8797932657906435,3.141592653589793,False,71,71.0,71.0
data,SS1b,delta_eta,0.0,0.5,False,142,142.0,142.0
data,SS1b,delta_eta,0.5,1.0,False,121,121.0,121.0
data,SS1b,delta_eta,1.0,1.5,False,88,88.0,88.0
data,SS1b,delta_eta,1.5,2.0,False,60,60.0,60.0
data,SS1b,delta_eta,2.0,2.5,False,60,60.0,60.0
data,SS1b,delta_eta,2.5,3.0,False,16,16.0,16.0
data,SS1b,delta_eta,3.0,3.5,False,13,13.0,13.0
data,SS1b,delta_eta,3.5,4.0,False,12,12.0,12.0
data,SS1b,delta_eta,4.0,4.5,False,1,1.0,1.0
data,SS1b,delta_eta,4.5,5.0,False,0,0.0,0.0
data,SS1b,m_emu,0.0,25.0,False,6,6.0,6.0
data,SS1b,m_emu,25.0,50.0,False,27,27.0,27.0
data,SS1b,m_emu,50.0,75.0,False,51,51.0,51.0
data,SS1b,m_emu,75.0,100.0,False,52,52.0,52.0
data,SS1b,m_emu,100.0,125.0,False,75,75.0,75.0
data,SS1b,m_emu,125.0,150.0,False,69,69.0,69.0
data,SS1b,m_emu,150.0,200.0,False,87,87.0,87.0
data,SS1b,m_emu,200.0,300.0,False,91,91.0,91.0
data,SS1b,m_emu,300.0,450.0,True,55,55.0,55.0
data,SS1b,met,30.0,45.0,False,65,65.0,65.0
data,SS1b,met,45.0,60.0,False,99,99.0,99.0
data,SS1b,met,60.0,80.0,False,117,117.0,117.0
data,SS1b,met,80.0,110.0,False,100,100.0,100.0
data,SS1b,met,110.0,150.0,False,73,73.0,73.0
data,SS1b,met,150.0,200.0,False,41,41.0,41.0
data,SS1b,met,200.0,300.0,True,18,18.0,18.0
data,SS1b,n_bjets,-0.5,0.5,False,0,0.0,0.0
data,SS1b,n_bjets,0.5,1.5,False,311,311.0,311.0
data,SS1b,n_bjets,1.5,2.5,False,190,190.0,190.0
data,SS1b,n_bjets,2.5,3.5,False,12,12.0,12.0
data,SS1b,n_bjets,3.5,4.5,True,0,0.0,0.0
ttbar,SR1b,electron_pt,25.0,35.0,False,21214,9098.237198849567,4155.508722763362
ttbar,SR1b,electron_pt,35.0,45.0,False,26872,11841.300697495055,5541.651798803614
ttbar,SR1b,electron_pt,45.0,60.0,False,34966,15370.280727829875,7177.612127607943
ttbar,SR1b,electron_pt,60.0,80.0,False,33173,14899.639438863296,7130.517607333968
ttbar,SR1b,electron_pt,80.0,110.0,False,25496,11494.21091890867,5543.130541685077
ttbar,SR1b,electron_pt,110.0,150.0,False,13378,6000.877426412655,2900.68066905138
ttbar,SR1b,electron_pt,150.0,200.0,False,5171,2309.598734995643,1124.900498194535
ttbar,SR1b,electron_pt,200.0,300.0,True,2411,1060.8459857817124,518.9806234796929
ttbar,SR1b,muon_pt,25.0,35.0,False,25861,11539.711640967063,5480.447934838002
ttbar,SR1b,muon_pt,35.0,45.0,False,29893,13308.051347481918,6298.720480342645
ttbar,SR1b,muon_pt,45.0,60.0,False,35514,15758.873715997488,7432.395509394873
ttbar,SR1b,muon_pt,60.0,80.0,False,30240,13401.862578095039,6315.920866728125
ttbar,SR1b,muon_pt,80.0,110.0,False,22860,10071.104962520965,4756.644087446754
ttbar,SR1b,muon_pt,110.0,150.0,False,11687,5124.3221086479825,2432.9172286089724
ttbar,SR1b,muon_pt,150.0,200.0,False,4483,1948.5238994723522,930.4002741588652
ttbar,SR1b,muon_pt,200.0,300.0,True,2143,922.5408759535885,445.5362074013233
ttbar,SR1b,n_jets,1.5,2.5,False,87951,39232.55398120808,18626.064176143143
ttbar,SR1b,n_jets,2.5,3.5,False,48556,21412.105578190974,10105.149616438819
ttbar,SR1b,n_jets,3.5,4.5,False,18542,8124.10923067951,3822.4878786833096
ttbar,SR1b,n_jets,4.5,5.5,False,5754,2500.6181360758583,1165.3823358386853
ttbar,SR1b,n_jets,5.5,6.5,False,1463,630.9705162612909,293.51662498377436
ttbar,SR1b,n_jets,6.5,7.5,True,415,174.63368672066463,80.38195683181766
ttbar,SR1b,delta_phi,0.0,0.2617993877991494,False,7075,3135.762689184934,1468.1384692569945
ttbar,SR1b,delta_phi,0.2617993877991494,0.5235987755982988,False,8274,3673.4960792665997,1724.4975361959919
ttbar,SR1b,delta_phi,0.5235987755982988,0.7853981633974483,False,8673,3859.9628314885954,1813.3273308082032
ttbar,SR1b,delta_phi,0.7853981633974483,1.0471975511965976,False,9337,4127.6077993229665,1930.9548418348652
ttbar,SR1b,delta_phi,1.0471975511965976,1.308996938995747,False,10477,4630.645295645885,2170.3356098761337
ttbar,SR1b,delta_phi,1.308996938995747,1.5707963267948966,False,11683,5168.013865607716,2433.0613832020217
ttbar,SR1b,delta_phi,1.5707963267948966,1.832595714594046,False,13179,5847.838844032753,2754.6677163815043
ttbar,SR1b,delta_phi,1.832595714594046,2.0943951023931953,False,15071,6684.91794876996,3159.660780297332
ttbar,SR1b,delta_phi,2.0943951023931953,2.356194490192345,False,17088,7569.557483570741,3587.439097802764
ttbar,SR1b,delta_phi,2.356194490192345,2.617993877991494,False,19163,8494.657559801666,4042.3390697612385
ttbar,SR1b,delta_phi,2.617993877991494,2.8797932657906435,False,20842,9226.365932925572,4399.707007639909
ttbar,SR1b,delta_phi,2.8797932657906435,3.141592653589793,False,21819,9656.164799519065,4608.8537458626
ttbar,SR1b,delta_eta,0.0,0.5,False,44743,19671.302345743054,9198.031877813843
ttbar,SR1b,delta_eta,0.5,1.0,False,41164,18162.097835228407,8524.229407588162
ttbar,SR1b,delta_eta,1.0,1.5,False,32913,14600.984992176984,6922.586813279209
ttbar,SR1b,delta_eta,1.5,2.0,False,22273,9934.252293853187,4742.750019005136
ttbar,SR1b,delta_eta,2.0,2.5,False,12622,5659.883993872141,2730.850284949837
ttbar,SR1b,delta_eta,2.5,3.0,False,5939,2669.510530716715,1297.574494631614
ttbar,SR1b,delta_eta,3.0,3.5,False,2233,1014.0783108693631,495.23009311818123
ttbar,SR1b,delta_eta,3.5,4.0,False,615,281.25812891030364,140.0073067442454
